#PREVIUS_GENE_OF_INTEREST	NUM_IN_COMMON	condition1	OTHER_conditions	GENE (with converted_name)
NO	4	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP	LIGHT_RET_LEFT_6H_UP_intersection	 KCNQ3.p1: ENSGALT00000071034.2,  ASAP3.p1: ENSGALT00000091877.1,  GARNL3.p1: ENSGALT00000104302.1,  RB1.p1: ENSGALT00000107323.1, 
NO	0	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP	LIGHT_TEL_RIGHT_6H_intersection	
NO	0	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP	LIGHT_TEL_LEFT_6H_intersection	
NO	0	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP	LIGHT_RET_LEFT_24H_up_intersection	
NO	0	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP	LIGHT_RET_RIGHT_24H_up_intersection	
NO	0	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP	LIGHT_TEL_LEFT_24H_up_intersection	
NO	4	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP_intersection	 RAPGEF2.p1: ENSGALT00000076253.2,  SVIL.p1: ENSGALT00000058082.2,  PRKA.p1: ENSGALT00000077603.2,  GRIP2.p1: ENSGALT00000049228.2, 
NO	0	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up_intersection	
NO	0	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up_intersection	
NO	0	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up_intersection	
NO	1	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	 ARHGAP21.p1: ENSGALT00000093696.1, 
NO	0	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	dark_TEL_left_up_intersection	
NO	5	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	dark_RET_up_right_vs_left_intersection	 PPP2R5C.p1: ENSGALT00000086659.2,  GRIP2.p1: ENSGALT00000049228.2,  RAPGEF2.p1: ENSGALT00000076253.2,  PRKA.p1: ENSGALT00000077603.2,  USP34.p1: ENSGALT00000107765.1, 
NO	0	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	dark_RET_up_left_vs_right_intersection	
NO	0	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	dark_TEL_up_right_vs_left_intersection	
NO	0	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	dark_TEL_up_left_vs_right_intersection	
NO	0	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	LIGHT_RET_RIGHT_6H_UP_intersection	
NO	0	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	LIGHT_RET_LEFT_6H_UP_intersection	
NO	0	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	LIGHT_TEL_RIGHT_6H_intersection	
NO	0	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	LIGHT_TEL_LEFT_6H_intersection	
NO	0	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	LIGHT_RET_LEFT_24H_up_intersection	
NO	0	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	LIGHT_RET_RIGHT_24H_up_intersection	
NO	0	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	LIGHT_TEL_LEFT_24H_up_intersection	
NO	4	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP_intersection	 RAPGEF2.p1: ENSGALT00000076253.2,  SVIL.p1: ENSGALT00000058082.2,  PRKA.p1: ENSGALT00000077603.2,  GRIP2.p1: ENSGALT00000049228.2, 
NO	1	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up_intersection	 HIRA.p1: ENSGALT00000088059.2, 
NO	1	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up_intersection	 CHST10.p1: ENSGALT00000044322.4, 
NO	1	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up_intersection	 HIRA.p1: ENSGALT00000088059.2, 
NO	1	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	 HIRA.p1: ENSGALT00000088059.2, 
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	dark_TEL_left_up_intersection	
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	dark_RET_up_right_vs_left_intersection	
NO	3	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	dark_RET_up_left_vs_right_intersection	 KIF16B.p1: ENSGALT00000102380.1,  BCOR.p1: ENSGALT00000036653.4,  PRDM15.p1: ENSGALT00000090664.1, 
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	dark_TEL_up_right_vs_left_intersection	
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	dark_TEL_up_left_vs_right_intersection	
NO	5	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	LIGHT_RET_RIGHT_6H_UP_intersection	 PTPRVP.p1: ENSGALT00000098251.1,  FNDC3A.p1: ENSGALT00000091251.1,  NFE2L1.p1: ENSGALT00000093748.1,  KIAA1462.p1: ENSGALT00000100158.1,  KIF16B.p1: ENSGALT00000102380.1, 
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	LIGHT_RET_LEFT_6H_UP_intersection	
NO	1	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	LIGHT_TEL_RIGHT_6H_intersection	 CHST10.p1: ENSGALT00000027075.6, 
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	LIGHT_TEL_LEFT_6H_intersection	
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	LIGHT_RET_LEFT_24H_up_intersection	
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	LIGHT_RET_RIGHT_24H_up_intersection	
NO	1	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	LIGHT_TEL_LEFT_24H_up_intersection	 ATP13A3.p1: ENSGALT00000078141.2, 
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP_intersection	
NO	1	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP_intersection	 HIRA.p1: ENSGALT00000088059.2, 
NO	3	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up_intersection	 MYO19.p1: ENSGALT00000039165.4,  ENPP4.p1: ENSGALT00000076315.2,  BCOR.p1: ENSGALT00000036653.4, 
NO	1	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up_intersection	 HIRA.p1: ENSGALT00000088059.2, 
NO	1	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	 HIRA.p1: ENSGALT00000088059.2, 
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	dark_TEL_left_up_intersection	
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	dark_RET_up_right_vs_left_intersection	
NO	5	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	dark_RET_up_left_vs_right_intersection	 DARS.p1: ENSGALT00000050094.2,  BCOR.p1: ENSGALT00000036653.4,  GSN.p1: ENSGALT00000084418.2,  FRYL.p1: ENSGALT00000096883.1,  WDR26.p1: ENSGALT00000104120.1, 
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	dark_TEL_up_right_vs_left_intersection	
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	dark_TEL_up_left_vs_right_intersection	
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	LIGHT_RET_RIGHT_6H_UP_intersection	
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	LIGHT_RET_LEFT_6H_UP_intersection	
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	LIGHT_TEL_RIGHT_6H_intersection	
NO	1	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	LIGHT_TEL_LEFT_6H_intersection	 DARS.p1: ENSGALT00000050094.2, 
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	LIGHT_RET_LEFT_24H_up_intersection	
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	LIGHT_RET_RIGHT_24H_up_intersection	
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	LIGHT_TEL_LEFT_24H_up_intersection	
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP_intersection	
NO	1	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP_intersection	 CHST10.p1: ENSGALT00000044322.4, 
NO	3	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up_intersection	 MYO19.p1: ENSGALT00000039165.4,  ENPP4.p1: ENSGALT00000076315.2,  BCOR.p1: ENSGALT00000036653.4, 
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up_intersection	
NO	0	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	7	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	dark_TEL_left_up_intersection	 FAT3.p1: ENSGALT00000101402.1,  TMCC2.p1: ENSGALT00000050468.2,  RASGEF1A.p1: ENSGALT00000034231.5,  MAPK8IP1.p1: ENSGALT00000054366.2,  YRDC.p1: ENSGALT00000100422.1,  IL17RD.p1: ENSGALT00000008827.6,  CTCF.p1: ENSGALT00000002811.4, 
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	dark_RET_up_right_vs_left_intersection	
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	dark_RET_up_left_vs_right_intersection	
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	dark_TEL_up_right_vs_left_intersection	
NO	7	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	dark_TEL_up_left_vs_right_intersection	 FAT3.p1: ENSGALT00000101402.1,  TMCC2.p1: ENSGALT00000050468.2,  RASGEF1A.p1: ENSGALT00000034231.5,  MAPK8IP1.p1: ENSGALT00000054366.2,  YRDC.p1: ENSGALT00000100422.1,  IL17RD.p1: ENSGALT00000008827.6,  CTCF.p1: ENSGALT00000002811.4, 
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	LIGHT_RET_RIGHT_6H_UP_intersection	
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	LIGHT_RET_LEFT_6H_UP_intersection	
NO	3	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	LIGHT_TEL_RIGHT_6H_intersection	 AKAP6.p1: ENSGALT00000051855.2,  EEA1.p1: ENSGALT00000076937.2,  KIF16B.p1: ENSGALT00000047833.2, 
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	LIGHT_TEL_LEFT_6H_intersection	
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	LIGHT_RET_LEFT_24H_up_intersection	
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	LIGHT_RET_RIGHT_24H_up_intersection	
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	LIGHT_TEL_LEFT_24H_up_intersection	
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP_intersection	
NO	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP_intersection	 HIRA.p1: ENSGALT00000088059.2, 
NO	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up_intersection	 HIRA.p1: ENSGALT00000088059.2, 
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up_intersection	
NO	8	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	 ATP13A3.p1: ENSGALT00000101706.1,  TMCC2.p1: ENSGALT00000050468.2,  NAV2.p1: ENSGALT00000040276.4,  CEP85L.p1: ENSGALT00000062957.2,  AKAP6.p1: ENSGALT00000051855.2,  HIRA.p1: ENSGALT00000088059.2,  YRDC.p1: ENSGALT00000100422.1,  MAPK8IP1.p1: ENSGALT00000054366.2, 
NO	7	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	dark_TEL_left_up_intersection	 RFX2.p1: ENSGALT00000095394.1,  TMCC2.p1: ENSGALT00000050468.2,  CENPF.p1: ENSGALT00000084212.2,  FLNB.p1: ENSGALT00000055290.2,  YRDC.p1: ENSGALT00000100422.1,  MAPK8IP1.p1: ENSGALT00000054366.2,  USP24.p1: ENSGALT00000059062.2, 
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	dark_RET_up_right_vs_left_intersection	
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	dark_RET_up_left_vs_right_intersection	
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	dark_TEL_up_right_vs_left_intersection	
NO	7	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	dark_TEL_up_left_vs_right_intersection	 RFX2.p1: ENSGALT00000095394.1,  TMCC2.p1: ENSGALT00000050468.2,  CENPF.p1: ENSGALT00000084212.2,  FLNB.p1: ENSGALT00000055290.2,  YRDC.p1: ENSGALT00000100422.1,  MAPK8IP1.p1: ENSGALT00000054366.2,  USP24.p1: ENSGALT00000059062.2, 
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	LIGHT_RET_RIGHT_6H_UP_intersection	
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	LIGHT_RET_LEFT_6H_UP_intersection	
NO	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	LIGHT_TEL_RIGHT_6H_intersection	 AKAP6.p1: ENSGALT00000051855.2, 
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	LIGHT_TEL_LEFT_6H_intersection	
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	LIGHT_RET_LEFT_24H_up_intersection	
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	LIGHT_RET_RIGHT_24H_up_intersection	
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	LIGHT_TEL_LEFT_24H_up_intersection	
NO	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP_intersection	 ARHGAP21.p1: ENSGALT00000093696.1, 
NO	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP_intersection	 HIRA.p1: ENSGALT00000088059.2, 
NO	1	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up_intersection	 HIRA.p1: ENSGALT00000088059.2, 
NO	0	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up_intersection	
NO	8	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up_intersection	 ATP13A3.p1: ENSGALT00000101706.1,  TMCC2.p1: ENSGALT00000050468.2,  NAV2.p1: ENSGALT00000040276.4,  CEP85L.p1: ENSGALT00000062957.2,  AKAP6.p1: ENSGALT00000051855.2,  HIRA.p1: ENSGALT00000088059.2,  YRDC.p1: ENSGALT00000100422.1,  MAPK8IP1.p1: ENSGALT00000054366.2, 
NO	0	dark_TEL_left_up	dark_RET_up_right_vs_left_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_TEL_left_up	dark_RET_up_left_vs_right_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_TEL_left_up	dark_TEL_up_right_vs_left_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	7	dark_TEL_left_up	dark_TEL_up_left_vs_right_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	 RFX2.p1: ENSGALT00000095394.1,  TMCC2.p1: ENSGALT00000050468.2,  CENPF.p1: ENSGALT00000084212.2,  FLNB.p1: ENSGALT00000055290.2,  YRDC.p1: ENSGALT00000100422.1,  MAPK8IP1.p1: ENSGALT00000054366.2,  USP24.p1: ENSGALT00000059062.2, 
NO	0	dark_TEL_left_up	LIGHT_RET_RIGHT_6H_UP_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_TEL_left_up	LIGHT_RET_LEFT_6H_UP_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_TEL_left_up	LIGHT_TEL_RIGHT_6H_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_TEL_left_up	LIGHT_TEL_LEFT_6H_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_TEL_left_up	LIGHT_RET_LEFT_24H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_TEL_left_up	LIGHT_RET_RIGHT_24H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_TEL_left_up	LIGHT_TEL_LEFT_24H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_TEL_left_up	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_TEL_left_up	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_TEL_left_up	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_TEL_left_up	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	3	dark_TEL_left_up	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	 TMCC2.p1: ENSGALT00000050468.2,  YRDC.p1: ENSGALT00000100422.1,  MAPK8IP1.p1: ENSGALT00000054366.2, 
NO	3	dark_TEL_left_up	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up_intersection	 TMCC2.p1: ENSGALT00000050468.2,  YRDC.p1: ENSGALT00000100422.1,  MAPK8IP1.p1: ENSGALT00000054366.2, 
NO	0	dark_RET_up_right_vs_left	dark_TEL_left_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	dark_RET_up_left_vs_right_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	dark_TEL_up_right_vs_left_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	dark_TEL_up_left_vs_right_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	LIGHT_RET_RIGHT_6H_UP_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	LIGHT_RET_LEFT_6H_UP_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	LIGHT_TEL_RIGHT_6H_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	LIGHT_TEL_LEFT_6H_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	LIGHT_RET_LEFT_24H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	LIGHT_RET_RIGHT_24H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	LIGHT_TEL_LEFT_24H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_right_vs_left	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up_intersection	
NO	0	dark_RET_up_left_vs_right	dark_TEL_left_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	dark_RET_up_right_vs_left_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	dark_TEL_up_right_vs_left_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	dark_TEL_up_left_vs_right_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	LIGHT_RET_RIGHT_6H_UP_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	LIGHT_RET_LEFT_6H_UP_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	LIGHT_TEL_RIGHT_6H_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	LIGHT_TEL_LEFT_6H_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	LIGHT_RET_LEFT_24H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	LIGHT_RET_RIGHT_24H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	LIGHT_TEL_LEFT_24H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_RET_up_left_vs_right	LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up_intersection	
NO	0	dark_TEL_up_right_vs_left	dark_TEL_left_up_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_TEL_up_right_vs_left	dark_RET_up_right_vs_left_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
NO	0	dark_TEL_up_right_vs_left	dark_RET_up_left_vs_right_and_LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up_intersection	
